panel,pathway,bin_index,log10_ai_center,n,q25,median,q75
f,Ta,1,-1.3967348080163209,2827,-0.0123767526820302,0.0360422581434249,0.0973803102970123
f,Ta,2,-1.3126388498403094,7819,-0.0245239594951272,0.0156774073839187,0.0636450462043285
f,Ta,3,-1.2285428916642984,15173,-0.0294487290084362,0.0149108069017529,0.0659751072525978
f,Ta,4,-1.144446933488287,26298,-0.0274304370395839,0.0184391550719738,0.0630511026829481
f,Ta,5,-1.0603509753122755,34663,-0.0175135098397731,0.0225040856748819,0.0657349787652492
f,Ta,6,-0.9762550171362644,46724,-0.0087534138001501,0.02905476372689,0.0701941922307014
f,Ta,7,-0.8921590589602533,61212,-0.0085297659970819,0.0293084383010864,0.0765601452440023
f,Ta,8,-0.808063100784242,75747,-0.0158980023115873,0.0210175663232803,0.0674162954092025
f,Ta,9,-0.7239671426082308,91746,-0.0175245380960404,0.0167419454082846,0.062980743125081
f,Ta,10,-0.6398711844322196,95801,-0.0132767427712678,0.0229312255978584,0.0703950077295303
f,Ta,11,-0.5557752262562083,93520,-0.0033332473831251,0.0307221719995141,0.0818958561867475
f,Ta,12,-0.471679268080197,85633,0.0017450611339882,0.0351060256361961,0.0856111049652099
f,Ta,13,-0.3875833099041857,79969,0.0044176960363984,0.0391937084496021,0.0889943987131118
f,Ta,14,-0.3034873517281745,77811,0.0019460807088762,0.0350146330893039,0.0829004235565662
f,Ta,15,-0.2193913935521633,69981,-8.111173519864678e-05,0.029520196840167,0.0722449868917465
f,Ta,16,-0.135295435376152,59381,0.0007444689399562,0.0343818701803684,0.083259142935276
f,Ta,17,-0.0511994772001408,57621,0.0096436375752091,0.0533041730523109,0.1058867424726486
f,Ta,18,0.0328964809758703,47046,0.0152873049955815,0.0533979125320911,0.1005210746079683
f,Ta,19,0.1169924391518816,39203,0.0202246140688657,0.0614311322569847,0.1069793328642845
f,Ta,20,0.2010883973278928,36038,0.0246640024706721,0.0652585253119468,0.1018755789846181
f,Ta,21,0.2851843555039041,23013,0.0171457882970571,0.0559452809393405,0.1005360186100006
f,Ta,22,0.3692803136799153,12972,0.0134828763548284,0.0548957567662,0.1042588483542203
f,Ta,23,0.4533762718559266,6965,0.0146419182419776,0.0662252157926559,0.1178188621997833
f,Ta,24,0.5374722300319379,3819,0.013373811263591,0.0707697868347168,0.1239433176815509
f,Ta,25,0.6215681882079491,2430,0.0101138984318822,0.0600030291825532,0.1135241594165563
f,Ta,26,0.7056641463839604,1655,0.0070711481384932,0.0530464947223663,0.099700890481472
f,Ta,27,0.7897601045599716,1274,0.0043728450546041,0.0441246014088392,0.0887574795633554
f,Ta,28,0.8738560627359828,803,0.0010628231684677,0.0319712832570076,0.0676665566861629
f,Ta,29,0.9579520209119942,528,0.0033045306336134,0.0279483515769243,0.0695101097226142
